Time,output
1653,1487.55
1654,1468.06
1655,1450.15
1656,1422.58
1657,1407.33
1658,1386.89
1659,1365.27
1700,1348.27
1701,1329.75
1702,1309.09
1703,1287.69
1704,1269.86
1705,1248.28
1706,1223.72
1707,1203.16
1708,1181.22
1709,1154.34
1710,1135.23
1711,1112.88
1712,1093.2
1713,1072.25
1714,1052.93
1715,1026.36
1716,1001.03
1717,981.38
1718,958.84
1719,937.89
1720,918.27
1721,899.63
1722,879.01
1723,856.04
1724,835.81
1725,819.16
1726,795.79
1727,777.73
1728,756.62
1729,733.78
1730,709.63
1731,688.45
1732,665.58
1733,646.61
1734,624.42
1735,604.61
1736,585.51
1737,563.18
1738,541.24
1739,521.58
1740,503.95
1741,488.86
1742,472.49
1743,457.23
1744,441.43
1745,426.16
1746,413.85
1747,398.09
1748,384.35
1749,370.52
1750,358.12
1751,345
1752,333.03
1753,315.04
1754,309.51
1755,296.53
1756,282.78
1757,269.76
1758,257.32
1759,244.01
1800,230.17
1801,214.44
1802,198.47
1803,193.02
1804,181.13
1805,169.8
1806,158.53
1807,148.38
1808,137.04
1809,126.87
1810,116.87
1811,106.69
1812,92.34
1813,84.51
1814,70.65
1815,63.27
1816,55.16
1817,47.78
1818,46.12
1819,36.28
1820,31.17
1821,27.13
1822,22.8
1823,12.04
1824,10.46
1825,3.76
1826,1.71
1827,0.76
1828,0.46
1829,0.42
1830,0.26
1831,0.24
1832,0.18
1833,0.13
1834,0.13
1835,0.11
1836,0.09
1837,0.09
1838,0.1
1839,0.09
1840,0.09
1841,0.1
1842,0.09
1843,0.09
1844,0.09
1845,0.09
1846,0.09
1847,0.09
1848,0.09
1849,0.09
1850,0.14
1851,0.15
1852,0.17
1853,0.17
1854,0.18
1855,0.18
1856,0.2
1857,0.2
1858,0.2
1859,0.21
1900,0.19
1300,4516.27
1301,4506.35
1302,4494.17
1303,4486.97
1304,4481.7
1305,4481.8
1306,4475.93
1307,4474.24
1308,4471.89
1309,4475.21
1310,4473.96
1311,4469.23
1312,4463.14
1313,4453.52
1314,4437.48
1315,4436
1316,4407.68
1317,4402.18
1318,4455.15
1319,4456.2
1320,4440.92
1321,4438.74
1322,4429.25
1323,4421.39
1324,4421.75
1325,4424.31
1326,4417.61
1327,4424.04
1328,4402.9
1329,4396.64
1330,4385.26
1331,4372.44
1332,4359.85
1333,4345.13
1334,4336.61
1335,4330.02
1336,4316.4
1337,4321.4
1338,4312.19
1339,4307.55
1340,4300.67
1341,4297.13
1342,4290.57
1343,4281.81
1344,4275.4
1345,4272.74
1346,4268.24
1347,4266.58
1348,4259.53
1349,4260.07
1350,4264.64
1351,4259.91
1352,4244.74
1353,4239.67
1354,4240.46
1355,4226.84
1356,4219.92
1357,4206.78
1358,4195.37
1359,4190.72
1400,4184.46
1401,4172.48
1402,4163.34
1403,4159
1404,4135.58
1405,4118.8
1406,4109.54
1407,4100.06
1408,4087.26
1409,4071.57
1410,4063.66
1411,4051.16
1412,4058.36
1413,4051.9
1414,4040.91
1415,4028.33
1416,4009.42
1417,4002.41
1418,3999.71
1419,3995.86
1420,3990.19
1421,3961.9
1422,3946.48
1423,3928.16
1424,3910.2
1425,3902.09
1426,3896.18
1427,3866.41
1428,3857.38
1429,3848.06
1430,3834.96
1431,3831.61
1432,3827.2
1433,3814.44
1434,3807.14
1435,3796.06
1436,3790
1437,3777.52
1438,3759.69
1439,3752.16
1440,3730.01
1441,3718.4
1442,3704.61
1443,3688.17
1444,3669.52
1445,3663.7
1446,3649.02
1447,3628.28
1448,3611.23
1449,3599.12
1450,3584.17
1451,3568.39
1452,3557.57
1453,3548.36
1454,3538.65
1455,3526.73
1456,3519.57
1457,3512.34
1458,3500.99
1459,3489.32
1500,3490.64
1501,3475.33
1502,3463.62
1503,3448.82
1504,3430.01
1505,3418.57
1506,3402.48
1507,3380.1
1508,3362.74
1509,3353.57
1510,3338.43
1511,3327.76
1512,3314.66
1513,3304.11
1514,3287.54
1515,3277.72
1516,3263.32
1517,3249.78
1518,3229.78
1519,3215.82
1520,3200.97
1521,3182.21
1522,3171.3
1523,3152.96
1524,3140.17
1525,3128.77
1526,3114.06
1527,3097.77
1528,3082
1529,3062.91
1530,3043.18
1531,3028.31
1532,3015.95
1533,3004.49
1534,2990.42
1535,2978.5
1536,2957.11
1537,2944.91
1538,2924.64
1539,2909.65
1540,2892.26
1541,2868.87
1542,2853.83
1543,2837.16
1544,2808.43
1545,2795.68
1546,2776.13
1547,2768.61
1548,2753.47
1549,2736.16
1550,2723.97
1551,2712.65
1552,2699.82
1553,2682.22
1554,2659.1
1555,2639.47
1556,2619.95
1557,2603.67
1558,2584.19
1559,2559.84
1600,2537.2
1601,2521.68
1602,2507.74
1603,2495.38
1604,2479.17
1605,2458
1606,2438.02
1607,2428.24
1608,2395.69
1609,2386.34
1610,2371.06
1611,2347.91
1612,2329.48
1613,2312.15
1614,2292.48
1615,2270.33
1616,2245.28
1617,2227.75
1618,2204.73
1619,2178.89
1620,2162.11
1621,2145.97
1622,2127.35
1623,2105.38
1624,2092.72
1625,2081.4
1626,2063.88
1627,2039.85
1628,2021.43
1629,2000.25
1630,1981.44
1631,1955.91
1632,1937.58
1633,1917.35
1634,1897.66
1635,1883.03
1636,1861.82
1637,1841.71
1638,1820.96
1639,1803.01
1640,1781.22
1641,1766.38
1642,1745.88
1643,1721.81
1644,1692.42
1645,1678.29
1646,1662.77
1647,1648.08
1648,1624.02
1649,1599.59
1650,1580.62
1651,1558.14
1652,1535.3
1653,1516.11
1654,1499.44
1655,1477.87
1656,1454.14
1657,1433.59
1658,1415.63
1659,1396.59
1700,1371.77
1701,1362.04
1702,1349.77
1703,1326.52
1704,1304.33
1705,1285.08
1706,1258.56
1707,1238.2
1708,1170.49
1709,1098.31
1710,1075.1
1711,1059.13
1712,1054.7
1713,1015.3
1714,982.06
1715,953.6
1716,932.71
1717,909.1
1718,883.65
1719,866.16
1720,857.18
1721,835.99
1722,779.99
1723,782.33
1724,777.41
1725,766.18
1726,748.93
1727,724.59
1728,693.02
1729,662.12
1730,622.02
1731,564.51
1732,517.3
1733,504.15
1734,470.79
1735,475.47
1736,470.76
1737,456.39
1738,439.16
1739,422.89
1740,400.89
1741,367.39
1742,336.68
1743,314.78
1744,305.14
1745,280.75
1746,267.16
1747,253.8
1748,240.08
1749,234.23
1750,223.91
1751,215.71
1752,198.81
1753,168.88
1754,151.45
1755,135.84
1756,127.32
1757,121.3
1758,117.78
1759,110.21
1800,99.27
1801,88.27
1802,85.57
1803,80.97
1804,76.38
1805,74.35
1806,70.39
1807,65.94
1808,60.3
1809,47.35
1810,48.12
1811,46.17
1812,32.59
1813,25.42
1814,16.65
1815,10.2
1816,8.99
1817,7.5
1818,6.21
1819,5.47
1820,4.49
1821,3.79
1822,2.44
1823,2.11
1824,1.63
1825,1.61
1826,1.24
1827,1.13
1828,0.93
1829,0.82
1830,0.78
1831,0.77
1832,0.71
1833,0.16
1834,0.14
1835,0.12
1836,0.09
1837,0.09
1838,0.1
1839,0.09
1840,0.1
1841,0.09
1842,0.09
1843,0.09
1844,0.09
1845,0.1
1846,0.09
1847,0.1
1848,0.09
1849,0.09
1850,0.09
1851,0.15
1852,0.15
1853,0.17
1854,0.23
1855,0.18
1856,0.18
1857,0.2
1858,0.2
1859,0.21
1900,0.2
1300,4589.88
1301,4586.19
1302,4580.44
1303,4574.45
1304,4572.37
1305,4555.97
1306,4553.16
1307,4552.89
1308,4540.11
1309,4530.88
1310,4520.4
1311,4509.76
1312,4501.11
1313,4492.61
1314,4489.6
1315,4481.42
1316,4481.81
1317,4476.99
1318,4473.22
1319,4471.88
1320,4466.43
1321,4458.14
1322,4440.82
1323,4431.92
1324,4426.81
1325,4415.24
1326,4388.52
1327,4379.75
1328,4372.23
1329,4369.18
1330,4363.2
1331,4361.83
1332,4365.55
1333,4361.28
1334,4358.12
1335,4355.68
1336,4350.43
1337,4362.38
1338,4341.5
1339,4332.76
1340,4321.89
1341,4313.35
1342,4307.84
1343,4298.58
1344,4284.56
1345,4287.44
1346,4280.72
1347,4263.91
1348,4269.93
1349,4277.53
1350,4255.42
1351,4247.82
1352,4242.55
1353,4233.5
1354,4221.19
1355,4212.91
1356,4199.75
1357,4184.53
1358,4167.3
1359,4154.51
1400,4127.34
1401,4133.64
1402,4125.67
1403,4119.83
1404,4118
1405,4115.89
1406,4104.38
1407,4096.36
1408,4092.45
1409,4087.09
1410,4078.35
1411,4063.95
1412,4054.27
1413,4039.26
1414,4027.79
1415,4018.37
1416,4006.47
1417,3999.74
1418,3981.31
1419,3971.29
1420,3959.73
1421,3957
1422,3949.99
1423,3937.84
1424,3933.77
1425,3917.48
1426,3906.18
1427,3897.81
1428,3889.52
1429,3880.72
1430,3869.37
1431,3862.23
1432,3848.83
1433,3824.64
1434,3815.07
1435,3800.58
1436,3785.96
1437,3773.72
1438,3755.73
1439,3744.72
1440,3736.7
1441,3734.04
1442,3727.97
1443,3708.3
1444,3695.77
1445,3684.69
1446,3678.2
1447,3660.2
1448,3636.55
1449,3618.7
1450,3601.32
1451,3590.84
1452,3571.54
1453,3567.53
1454,3564.53
1455,3555.86
1456,3551.24
1457,3527.92
1458,3505.14
1459,3500.27
1500,3493.16
1501,3492.27
1502,3478.08
1503,3464.95
1504,3460.61
1505,3451.05
1506,3435.01
1507,3409.07
1508,3381.54
1509,3356.08
1510,3335.71
1511,3315.3
1512,3295.63
1513,3274.08
1514,3268.58
1515,3259.04
1516,3245.98
1517,3245.76
1518,3208.86
1519,3194.56
1520,3177.68
1521,3176.02
1522,3162.18
1523,3161.27
1524,3138.69
1525,3120.2
1526,3101.03
1527,3094.54
1528,3079.21
1529,3063.26
1530,3046.19
1531,3034.93
1532,3019.78
1533,2994.45
1534,2920.57
1535,2921.63
1536,2905.48
1537,2897.59
1538,2887.21
1539,2872.18
1540,2593.15
1541,2839.79
1542,2829.67
1543,2816.88
1544,2801.38
1545,2788.12
1546,2799.16
1547,2780.57
1548,2762.82
1549,2742.82
1550,2724.46
1551,2716.3
1552,2696.77
1553,2676.15
1554,2651.95
1555,2632.11
1556,2614.33
1557,2602.41
1558,2590.24
1559,2571.56
1600,2547.71
1601,2530.47
1602,2512.04
1603,2496.6
1604,2476.86
1605,2453.49
1606,2435.11
1607,2419.99
1608,2405.4
1609,2394.79
1610,2382.64
1611,2365.68
1612,2348.26
1613,2330.23
1614,2315.38
1615,2297.02
1616,2284.02
1617,2273.28
1618,2253.73
1619,2235.26
1620,2216.44
1621,2199.3
1622,2177.44
1623,2154.64
1624,2133.55
1625,2118.1
1626,2100.15
1627,2085.47
1628,2050.2
1629,2030.32
1630,2013.39
1631,1998.48
1632,1980.53
1633,1961.82
1634,1938.51
1635,1917.43
1636,1901.03
1637,1884.26
1638,1866.04
1639,1851.01
1640,1833.02
1641,1813.37
1642,1801.54
1643,1772.5
1644,1747.19
1645,1723.88
1646,1697.13
1647,1676.13
1648,1660.7
1649,1639.25
1650,1614.03
1651,1596.58
1652,1577.5
1653,1555.86
1654,1535.99
1655,1516.34
1656,1499.23
1657,1483.64
1658,1461.5
1659,1439.27
1700,1420.62
1701,1398.03
1702,1385.59
1703,1367.5
1704,1345.37
1705,1320.64
1706,1295.96
1707,1273.19
1708,1254.83
1709,1234.76
1710,1214.58
1711,1191.58
1712,1166.67
1713,1145.41
1714,1116.49
1715,1089.61
1716,1067.85
1717,1046.53
1718,1026.07
1719,1004.85
1720,982.35
1721,959.52
1722,936.14
1723,912.03
1724,887.48
1725,865.72
1726,842.75
1727,821.92
1728,803.3
1729,782.03
1730,760.18
1731,738.16
1732,717.53
1733,691.88
1734,669.25
1735,650.38
1736,628.39
1737,607.79
1738,587.5
1739,566.12
1740,546.97
1741,527.42
1742,507.86
1743,492.35
1744,475.82
1745,455.32
1746,439.17
1747,424.38
1748,408.81
1749,389.46
1750,381.62
1751,367.52
1752,354.19
1753,340.6
1754,327.44
1755,315.19
1756,302.5
1757,291.48
1758,279.04
1759,267.77
1800,256.24
1801,244.58
1802,231.88
1803,220.25
1804,210.33
1805,199.23
1806,189.05
1807,177.95
1808,166.78
1809,157.1
1810,146.97
1811,137.92
1812,123.04
1813,106.29
1814,96.24
1815,87.12
1816,74.98
1817,66.51
1818,59.12
1819,52.22
1820,45.48
1821,39.46
1822,33.68
1823,28.53
1824,24.33
1825,15.29
1826,11.16
1827,7.93
1828,1.71
1829,1.48
1830,1.01
1831,1.03
1832,0.85
1833,0.76
1834,0.78
1835,0.75
1836,0.72
1837,0.72
1838,0.68
1839,0.68
1840,0.68
1841,0.69
1842,0.69
1843,0.69
1844,0.68
1845,0.68
1846,0.68
1847,0.68
1848,0.69
1849,0.68
1850,0.69
1851,0.74
1852,0.75
1853,0.79
1854,0.78
1855,0.77
1856,0.78
1857,0.79
1858,0.79
1859,0.81
1900,0.81
1300,4378.58
1301,4380.42
1302,4386.79
1303,4379.59
1304,4358.88
1305,4350.96
1306,4343.9
1307,4350.35
1308,4351.84
1309,4348.72
1310,4349.23
1311,4348.04
1312,4329.74
1313,4334.08
1314,4331.71
1315,4326.1
1316,4318.02
1317,4312.77
1318,4310.79
1319,4308.2
1320,4299.72
1321,4297.68
1322,4292.3
1323,4289.3
1324,4282.42
1325,4273.62
1326,4272.32
1327,4257.19
1328,4253.3
1329,4254.79
