Time,output
440,0.2
441,0.17
442,0.15
443,0.15
444,0.15
445,0.18
446,0.17
447,0.25
448,0.37
449,0.79
450,1.38
451,1.73
452,2.98
453,3.84
454,5.06
455,6.88
456,8.59
457,10.25
458,11.66
459,13.23
500,15.43
501,17.04
502,19.35
503,21.74
504,24.09
505,25.93
506,27.89
507,29.37
508,32.22
509,35.34
510,37.76
511,39.98
512,69.33
513,75.07
514,111.48
515,128.39
516,148.29
517,158.74
518,179.14
519,190.68
520,201.9
521,214.38
522,224.96
523,236.15
524,250.33
525,197.59
526,206.56
527,216.56
528,226.23
529,235.1
530,244.39
531,255.72
532,265.29
533,276
534,285.66
535,294.89
536,305.61
537,317.58
538,328.22
539,341.55
540,350.88
541,361.76
542,372.75
543,388.21
544,399.95
545,414.58
546,427.71
547,439.39
548,453.83
549,468.71
550,482.9
551,497.35
552,510.89
553,525.67
554,539.46
555,554.62
556,567.13
557,580.16
558,594.6
559,609.91
600,631.03
601,646.2
602,662.48
603,677.98
604,691.75
605,709.92
606,723.84
607,738.65
608,755.37
609,770.76
610,788.46
611,809.44
612,824.27
613,839.89
614,856.04
615,873.31
616,889.24
617,905.71
618,922.28
619,939.64
620,954.72
621,973.03
622,989.2
623,1007.01
624,1023.68
625,1041.67
626,1052.06
627,1067.67
628,1084.14
629,1100.97
630,1118.97
631,1134.14
632,1155.2
633,1174.76
634,1195.87
635,1212.49
636,1226.91
637,1248.16
638,1267.9
639,1283.51
640,1300.17
641,1318.47
642,1337.12
643,1354.92
644,1373.59
645,1391.47
646,1407.57
647,1424.4
648,1445.92
649,1461.68
650,1479.16
651,1499.38
652,1517.01
653,1535
654,1552.47
655,1564.7
656,1581.1
657,1601.03
658,1619.74
659,1642.3
700,1657.21
701,1677.69
702,1693.71
703,1710.22
704,1728.9
705,1747.39
706,1758.91
707,1777.91
708,1790.54
709,1808.82
710,1826.01
711,1847.53
712,1859.27
713,1880.3
714,1896.96
715,1910.78
716,1929.33
717,1957.56
718,1974.85
719,1990.16
720,1999
721,2023.39
722,2045.64
723,2055.85
724,2064.87
725,2084.36
726,2100.97
727,2115.9
728,2140.93
729,2158.49
730,2174.38
731,2188.56
732,2202.23
733,2221.92
734,2240.03
735,2252.68
736,2266.05
737,2283.6
738,2303.27
739,2318.08
740,2333.85
741,2348.66
742,2362.56
743,2379.07
744,2399.22
745,2414.61
746,2428.39
747,2439.92
748,2459.59
749,2477.17
750,2491.66
751,2503.54
752,2522.75
753,2534.71
754,2549.02
755,2566.09
756,2581.3
757,2590.79
758,2609.93
759,2630.43
800,2646.87
