,Time,Actual,predicted
161,1859,0.09,-130.19855101177927
162,1721,1141.66,607.6147363081436
163,1300,4248.01,2858.479909943564
164,1527,2837.55,1644.8305170332542
165,1420,763.92,2216.903138361022
166,1436,1097.17,2131.3595688166824
167,1439,623.77,2115.3201495271187
168,1546,477.77,1543.247528199352
169,1334,4136.36,2676.699824661844
170,1328,2429.22,2708.7786632409707
171,1322,1075.23,2740.857501820098
172,1826,27.77,46.235061173420036
173,1652,1449.49,976.521379968106
174,1407,4024.52,2286.4072886157974
175,1750,390.18,452.5670165090305
176,1852,11.47,-92.77323933613116
177,1859,0.09,-130.19855101177927
178,1340,4134.8,2644.6209860827166
179,1358,448.13,2548.384470345335
180,1542,224.95,1564.6334205854364
181,1553,578.27,1505.822216523704
182,1516,246.8,1703.6417210949876
183,1417,395.77,2232.9425576505855
184,1319,1078.49,2756.896921109662
185,1437,3727.79,2126.013095720162
186,1727,640.52,575.535897729018
187,1507,981.53,1751.759978963678
188,1846,0.43,-60.69440075700368
189,1447,2069.74,2072.54836475495
190,1605,439.33,1227.8056155046015
191,1441,888.38,2104.6272033340765
192,1501,1770.44,1783.8388175428054
193,1319,3774.22,2756.896921109662
194,1650,587.11,987.2143261611491
195,1712,133.71,655.7329941768348
196,1619,638.73,1152.9549921533053
197,1513,379.41,1719.6811403845513
198,1556,1582.21,1489.7827972341402
199,1342,3637.28,2633.9280398896744
200,1701,992.24,714.5441982385673
201,1855,1.35,-108.8126586256949
202,1422,3909.12,2206.2101921679796
203,1543,632.5,1559.2869474889158
204,1636,1162.98,1062.0649495124453
205,1416,949.49,2238.289030747106
206,1411,3982.63,2265.021396229712
207,1823,106.59,62.274480462983774
208,1532,677.67,1618.0981515506483
209,1435,3358.21,2136.706041913204
210,1313,3605.4,2788.9757596887885
211,1625,353.39,1120.8761535741778
212,1513,3203.52,1719.6811403845513
213,1531,48.15,1623.4446246471698
214,1751,110.43,447.22054341250805
215,1817,220.69,94.35331904210943
216,1426,1954.87,2184.8242997818943
217,1703,248.63,703.851252045526
218,1856,1.38,-114.15913172221553
219,1538,2647.68,1586.0193129715208
220,1336,4254.03,2666.006878468801
221,1500,3499.9,1789.185290639327
222,1502,758.43,1778.4923444462838
223,1609,2443.4,1206.4197231185171
224,1536,2287.13,1596.7122591645639
225,1544,2368.61,1553.9404743923951
226,1411,266.45,2265.021396229712
227,1554,2107.52,1500.4757434271833
228,1448,3007.09,2067.2018916584284
229,1308,4301.79,2815.7081251713944
230,1455,1987.52,2029.7765799827803
231,1442,2075.34,2099.280730237556
232,1404,3346.77,2302.44670790536
233,1547,677.41,1537.9010551028314
234,1515,3432.14,1708.9881941915091
235,1603,2513.97,1238.4985616976446
236,1354,1487.94,2569.7703627314195
237,1628,1671.61,1104.836734284614
238,1331,1129.35,2692.739243951407
239,1319,3739.47,2756.896921109662
240,1453,3138.41,2040.4695261758225
241,1605,97.3,1227.8056155046015
242,1514,807.07,1714.3346672880298
243,1719,151.36,618.3076825011867
244,1548,2579.84,1532.554582006309
245,1720,256.61,612.9612094046661
246,1847,0.25,-66.04087385352614
